method,ticker,metric,paper_value,calculated_value,display_rounding_exact_match,input_evidence,verification_class,native_agent_pipeline_executed,paper_time_data_snapshot_shipped,paper_result_reproduction_credit
B&H,AAPL,CR,2.66,2.6620010376,True,declared_or_conventional_rule_plus_pinned_current_yahoo_response,independent_baseline_recalculation_current_snapshot_not_paper_lineage,False,False,False
B&H,AAPL,AR,4.07,4.06885766204,True,declared_or_conventional_rule_plus_pinned_current_yahoo_response,independent_baseline_recalculation_current_snapshot_not_paper_lineage,False,False,False
B&H,AAPL,SR,0.56,0.562679076359,True,declared_or_conventional_rule_plus_pinned_current_yahoo_response,independent_baseline_recalculation_current_snapshot_not_paper_lineage,False,False,False
B&H,AAPL,MDD,7.33,7.32810714311,True,declared_or_conventional_rule_plus_pinned_current_yahoo_response,independent_baseline_recalculation_current_snapshot_not_paper_lineage,False,False,False
B&H,GOOGL,CR,4.19,4.1870010376,True,declared_or_conventional_rule_plus_pinned_current_yahoo_response,independent_baseline_recalculation_current_snapshot_not_paper_lineage,False,False,False
B&H,GOOGL,AR,6.42,6.42465165608,True,declared_or_conventional_rule_plus_pinned_current_yahoo_response,independent_baseline_recalculation_current_snapshot_not_paper_lineage,False,False,False
B&H,GOOGL,SR,1.05,1.04708556389,True,declared_or_conventional_rule_plus_pinned_current_yahoo_response,independent_baseline_recalculation_current_snapshot_not_paper_lineage,False,False,False
B&H,GOOGL,MDD,6.41,6.1363982861,False,declared_or_conventional_rule_plus_pinned_current_yahoo_response,independent_baseline_recalculation_current_snapshot_not_paper_lineage,False,False,False
B&H,TSLA,CR,6.10,6.10400085449,True,declared_or_conventional_rule_plus_pinned_current_yahoo_response,independent_baseline_recalculation_current_snapshot_not_paper_lineage,False,False,False
B&H,TSLA,AR,9.41,9.41142438494,True,declared_or_conventional_rule_plus_pinned_current_yahoo_response,independent_baseline_recalculation_current_snapshot_not_paper_lineage,False,False,False
B&H,TSLA,SR,0.52,0.520782910603,True,declared_or_conventional_rule_plus_pinned_current_yahoo_response,independent_baseline_recalculation_current_snapshot_not_paper_lineage,False,False,False
B&H,TSLA,MDD,16.89,16.8909195612,True,declared_or_conventional_rule_plus_pinned_current_yahoo_response,independent_baseline_recalculation_current_snapshot_not_paper_lineage,False,False,False
MACD,AAPL,CR,-1.87,-1.87099761963,True,declared_or_conventional_rule_plus_pinned_current_yahoo_response,independent_baseline_recalculation_current_snapshot_not_paper_lineage,False,False,False
MACD,AAPL,AR,-2.83,-2.82650224404,True,declared_or_conventional_rule_plus_pinned_current_yahoo_response,independent_baseline_recalculation_current_snapshot_not_paper_lineage,False,False,False
MACD,AAPL,SR,-0.59,-0.585166346542,True,declared_or_conventional_rule_plus_pinned_current_yahoo_response,independent_baseline_recalculation_current_snapshot_not_paper_lineage,False,False,False
MACD,AAPL,MDD,4.79,4.78753644422,True,declared_or_conventional_rule_plus_pinned_current_yahoo_response,independent_baseline_recalculation_current_snapshot_not_paper_lineage,False,False,False
MACD,GOOGL,CR,2.67,2.67300109863,True,declared_or_conventional_rule_plus_pinned_current_yahoo_response,independent_baseline_recalculation_current_snapshot_not_paper_lineage,False,False,False
MACD,GOOGL,AR,4.09,4.08578585745,True,declared_or_conventional_rule_plus_pinned_current_yahoo_response,independent_baseline_recalculation_current_snapshot_not_paper_lineage,False,False,False
MACD,GOOGL,SR,0.83,0.832011958028,True,declared_or_conventional_rule_plus_pinned_current_yahoo_response,independent_baseline_recalculation_current_snapshot_not_paper_lineage,False,False,False
MACD,GOOGL,MDD,4.11,4.10600128174,True,declared_or_conventional_rule_plus_pinned_current_yahoo_response,independent_baseline_recalculation_current_snapshot_not_paper_lineage,False,False,False
MACD,TSLA,CR,7.36,7.35599517822,True,declared_or_conventional_rule_plus_pinned_current_yahoo_response,independent_baseline_recalculation_current_snapshot_not_paper_lineage,False,False,False
MACD,TSLA,AR,11.38,11.3772665386,True,declared_or_conventional_rule_plus_pinned_current_yahoo_response,independent_baseline_recalculation_current_snapshot_not_paper_lineage,False,False,False
MACD,TSLA,SR,0.88,0.878558614186,True,declared_or_conventional_rule_plus_pinned_current_yahoo_response,independent_baseline_recalculation_current_snapshot_not_paper_lineage,False,False,False
MACD,TSLA,MDD,10.69,10.6933652337,True,declared_or_conventional_rule_plus_pinned_current_yahoo_response,independent_baseline_recalculation_current_snapshot_not_paper_lineage,False,False,False
SMA,AAPL,CR,-3.73,-3.72699890137,True,declared_or_conventional_rule_plus_pinned_current_yahoo_response,independent_baseline_recalculation_current_snapshot_not_paper_lineage,False,False,False
