candidate_id,ref_index,paper_ref,source_basis,paper_text_path,paper_idea,paper_evidence_summary,evidence_categories,unavailable_paper_content_not_replicated,jkp_replication_basis,proxy_formula,strategy,replication_scope,candidate_standalone_oos_sharpe,alpha_annualized,alpha_tstat_hac,information_ratio,appraisal_ratio,grs_f,grs_p_value,combined_minus_old_sharpe,beats_ff5mom_positive_alpha_5pct
repo_alphabench_formulaic_price_volume,1,001 AlphaBench,paper_text,paper_runs/idea_replications/paper_text/001_001_alphabench_benchmarking_large_language_models_in_formulaic_alpha_factor_mining.txt,"AlphaBench frames LLM alpha mining as formula generation from price and volume operators, then portfolio evaluation by Sharpe and related metrics.","Alpha mining is highly niche and lacks paired training data (factor expression, performance label).",factor_mining;sparse_or_cross_sectional_portfolio;agent_trading_workflow;reported_performance_claim;risk_control,news_or_text_signal;image_or_multimodal_signal;intraday_or_hft_signal;live_or_llm_execution;non_usa_or_crypto_scope,momentum_or_reversal;risk_or_safety;liquidity_or_microstructure,rank(ret_12_1)+rank(ret_6_1)+rank(rmax5_rvol_21d)+rank(dolvol_126d)-rank(rvol_252d)-rank(turnover_var_126d),long_short_decile_value_weighted,repo_in_spirit_proxy,-0.028626320181622,-0.0151435104024505,-2.1830180489439,-0.4542468039699128,-0.4542468039699128,4.703939772822773,0.0308842355846945,0.0937056097943618,False
efs_momentum_low_vol_breakout,2,002 EFS,paper_text,paper_runs/idea_replications/paper_text/002_002_efs_evolutionary_factor_searching_for_sparse_portfolio_optimization_using_llms.txt,"EFS appendix describes evolved factors combining momentum, mean return, low volatility/stability, and breakout logic.","alpha mining algorithms and the challenges of sparse portfolio optimization, we propose Evolutionary Factor Search (EFS).",factor_mining;sparse_or_cross_sectional_portfolio;agent_trading_workflow;reported_performance_claim;risk_control,news_or_text_signal;image_or_multimodal_signal;intraday_or_hft_signal;live_or_llm_execution;non_usa_or_crypto_scope,momentum_or_reversal;risk_or_safety,rank(ret_3_1)+rank(ret_6_1)+rank(ret_12_1)-rank(rvol_21d)-rank(rvol_252d)+rank(rmax5_rvol_21d),long_short_decile_value_weighted,paper_or_code_in_spirit_proxy,0.1627628437194313,-0.0054717812624617,-0.7835507212488502,-0.1671551868988873,-0.1671551868988873,0.6369681350488142,0.4254463529722518,0.0131705215894244,False
efs_short_reversal_low_noise,2,002 EFS,paper_text,paper_runs/idea_replications/paper_text/002_002_efs_evolutionary_factor_searching_for_sparse_portfolio_optimization_using_llms.txt,EFS discusses regime shifts toward mean reversion and downside/noise filtering in sideways markets.,"alpha mining algorithms and the challenges of sparse portfolio optimization, we propose Evolutionary Factor Search (EFS).",factor_mining;sparse_or_cross_sectional_portfolio;agent_trading_workflow;reported_performance_claim;risk_control,news_or_text_signal;image_or_multimodal_signal;intraday_or_hft_signal;live_or_llm_execution;non_usa_or_crypto_scope,momentum_or_reversal;quality_or_profitability;risk_or_safety,-rank(ret_1_0)-rank(rvol_21d)+rank(qmj_safety),long_short_decile_value_weighted,paper_or_code_in_spirit_proxy,0.1884952535777132,0.0170898302409654,1.7561359581317666,0.335506499857959,0.335506499857959,2.5661371764809617,0.1102334738558264,0.0521035425497609,False
efs_sparse_top5_momentum_low_vol,2,002 EFS,paper_text,paper_runs/idea_replications/paper_text/002_002_efs_evolutionary_factor_searching_for_sparse_portfolio_optimization_using_llms.txt,EFS uses sparse top scoring asset selection; this tests a literal sparse top-5 proxy using the momentum/low-volatility score.,"alpha mining algorithms and the challenges of sparse portfolio optimization, we propose Evolutionary Factor Search (EFS).",factor_mining;sparse_or_cross_sectional_portfolio;agent_trading_workflow;reported_performance_claim;risk_control,news_or_text_signal;image_or_multimodal_signal;intraday_or_hft_signal;live_or_llm_execution;non_usa_or_crypto_scope,,top5 equal-weight long-only excess return from efs_momentum_low_vol_breakout score,long_only_top5_equal_weighted,paper_or_code_in_spirit_proxy,0.7746976579178589,0.0165684061324675,1.6659784112549838,0.3074183597101601,0.3074183597101601,2.154455825569521,0.1432114518539001,0.0439111669641367,False
repo_alphaagent_decay_resistant_quality,3,003 AlphaAgent,paper_text,paper_runs/idea_replications/paper_text/003_003_alphaagent_llm_driven_alpha_mining_with_regularized_exploration_to_counteract_al.txt,"AlphaAgent regularizes LLM factor search for originality, hypothesis consistency, and complexity control to counter alpha decay and crowding.","Alpha Mining with Regularized Exploration to Counteract Alpha Decay Ziyi Tang Sun Yat-sen University Guangzhou, China tangzy27@mail2.",factor_mining;sparse_or_cross_sectional_portfolio;agent_trading_workflow;reported_performance_claim;risk_control,news_or_text_signal;image_or_multimodal_signal;intraday_or_hft_signal;live_or_llm_execution;non_usa_or_crypto_scope,quality_or_profitability;risk_or_safety;liquidity_or_microstructure;issuance_or_accruals,rank(ope_be)+rank(ocf_me)+rank(qmj_safety)+rank(at_turnover)-rank(oaccruals_at)-rank(eqnetis_me)-rank(debt_gr1),long_short_decile_value_weighted,repo_in_spirit_proxy,0.796112448833211,0.0386072739075827,4.263717671948606,0.8896780849699887,0.8896780849699887,18.04445534208056,2.888206102173848e-05,0.3252555720608092,True
code_quantaalpha_self_evolving_factor,4,004 QuantaAlpha,repo_readme_or_source_notes,none,QuantaAlpha is listed as an LLM-driven self-evolving framework for factor mining.,"Factor Mining QuantaAlpha/QuantaAlpha derived from pasted table repo text; GitHub URL cited directly in pasted references <div align=""center""> <img src=""docs/images/overview.",factor_mining;agent_trading_workflow;reported_performance_claim;risk_control,image_or_multimodal_signal;live_or_llm_execution;non_usa_or_crypto_scope,momentum_or_reversal;quality_or_profitability;risk_or_safety,rank(ret_12_1)+rank(ope_be)+rank(gp_me)+rank(qmj)-rank(rvol_252d)-rank(debt_at),long_short_decile_value_weighted,code_link_in_spirit_proxy,0.4628744237973928,0.0171177672684835,2.3572731054774465,0.495065789122878,0.495065789122878,5.587323585666895,0.0187324212792523,0.1104625960818652,True
repo_quantevolver_return_sharpe_proxy,5,005 QuantEvolver,paper_text,paper_runs/idea_replications/paper_text/005_005_quantevolver_reinforcement_fine_tuning_for_llm_based_alpha_factor_discovery.txt,QuantEvolver uses executable seed expressions and reinforcement fine-tuning; this row repeats its risk-adjusted momentum seed in the unified in-spirit table.,alpha mining.,factor_mining;sparse_or_cross_sectional_portfolio;agent_trading_workflow;reported_performance_claim;risk_control,news_or_text_signal;image_or_multimodal_signal;intraday_or_hft_signal;live_or_llm_execution,momentum_or_reversal;risk_or_safety,ret_12_1 / abs(rvol_252d),long_short_decile_value_weighted,repo_seed_jkp_proxy_unified,0.3159540989730854,0.0032849190887483,0.6514961447297817,0.1488674768148226,0.1488674768148226,0.5052166407827975,0.4777728235471496,0.0104596756531498,False
repo_rd_agent_factor_model_compact_ensemble,6,006 R&D-Agent-Quant,repo_readme_missing_extracted_paper_text,none,"R&D-Agent-Quant presents a data-centric factor/model co-optimization loop aiming for compact, robust factor sets rather than one-off generated alphas.",Factors and Model Joint Optimization (PDF) R&D-Agent-Quant: A Multi-Agent Framework for .,agent_trading_workflow,news_or_text_signal;image_or_multimodal_signal;live_or_llm_execution,momentum_or_reversal;value;quality_or_profitability;growth_or_investment;risk_or_safety,rank(be_me)+rank(ope_be)+rank(gp_me)+rank(ret_12_1)-rank(rvol_252d)-rank(beta_252d)-rank(at_gr1),long_short_decile_value_weighted,repo_in_spirit_proxy,-0.0265063303206854,-0.0064081675102667,-0.7893129461197043,-0.1801855833183732,-0.1801855833183732,0.7401471513892136,0.390305355940118,0.0152886782028063,False
alpha_jungle_price_volume_momentum,7,007 Alpha-Jungle,paper_text,paper_runs/idea_replications/paper_text/007_007_alpha_jungle_llm_powered_mcts_for_formulaic_factor_mining.txt,"Alpha-Jungle examples combine price percentage change, volume, volatility, and formula diversity in an MCTS alpha search.",alpha mining.,factor_mining;sparse_or_cross_sectional_portfolio;agent_trading_workflow;reported_performance_claim;risk_control,news_or_text_signal;image_or_multimodal_signal;intraday_or_hft_signal;live_or_llm_execution;non_usa_or_crypto_scope,momentum_or_reversal;liquidity_or_microstructure,rank(ret_3_1)+rank(turnover_126d)+rank(dolvol_126d)-rank(turnover_var_126d),long_short_decile_value_weighted,paper_or_code_in_spirit_proxy,0.0439128613801245,-0.0038439770553893,-0.4281621742243973,-0.0787963019980266,-0.0787963019980266,0.1415434131700345,0.7070191537895771,0.0029408586585955,False
alpha_jungle_volatility_compression_trend,7,007 Alpha-Jungle,paper_text,paper_runs/idea_replications/paper_text/007_007_alpha_jungle_llm_powered_mcts_for_formulaic_factor_mining.txt,Alpha-Jungle examples include moving-average price changes and standard-deviation operators; this proxy tests trend after volatility compression.,alpha mining.,factor_mining;sparse_or_cross_sectional_portfolio;agent_trading_workflow;reported_performance_claim;risk_control,news_or_text_signal;image_or_multimodal_signal;intraday_or_hft_signal;live_or_llm_execution;non_usa_or_crypto_scope,momentum_or_reversal;risk_or_safety,rank(ret_3_1)+rank(ret_12_1)-rank(rvol_21d)-rank(ivol_capm_21d),long_short_decile_value_weighted,paper_or_code_in_spirit_proxy,0.248649543001841,0.0037555123654357,0.5927177925644949,0.1086334156538179,0.1086334156538179,0.2690325707674368,0.6043664080577519,0.0055827250855575,False
