canonical_work_id,claim_id,published_claim,claim_kind,sample_or_denominator_shipped,raw_evidence_shipped,native_reproduced_value,status,paper_result_credit
CensusArxiv250720474,abstract_return_improvement,improves returns,qualitative,False,False,,unsupported_by_replayable_public_result_lineage,False
CensusArxiv250720474,retrieval_efficiency,over 40% versus manual processes,quantitative,False,False,,unsupported_by_replayable_public_result_lineage,False
CensusArxiv250720474,whale_detection,>= USD 10M with confidence > 0.85,quantitative,False,False,,unsupported_by_replayable_public_result_lineage,False
CensusArxiv250720474,investment_decision_accuracy,28% improvement,quantitative,False,False,,unsupported_by_replayable_public_result_lineage,False
CensusArxiv250720474,short_term_price_accuracy,15% improvement versus baseline,quantitative,False,False,,unsupported_by_replayable_public_result_lineage,False
CensusArxiv250720474,user_engagement_duration,35% increase,quantitative,False,False,,unsupported_by_replayable_public_result_lineage,False
CensusArxiv250720474,liquidation_volume_case_study,3.2% rise,quantitative,False,False,,unsupported_by_replayable_public_result_lineage,False
CensusArxiv250720474,extensive_ablations,extensive experiments and ablation studies,qualitative,False,False,,unsupported_by_replayable_public_result_lineage,False
CensusArxiv250720474,medium_term_accuracy,improved medium-term forecasting accuracy,qualitative,False,False,,unsupported_by_replayable_public_result_lineage,False
CensusArxiv250720474,directional_correctness,reliable directional correctness across tokens,qualitative,False,False,,unsupported_by_replayable_public_result_lineage,False
