check_id,surface,expected,observed,status,paper_corresponding_component_credit,exact_native_paper_mechanism_credit,paper_result_credit,note
frontend_exported_api_count,frontend,25,25,pass,True,False,False,"real product API client surface, not a result generator"
frontend_appendix_endpoints,frontend,"{""getCoinList"": ""/v1/api/getCoinList"", ""getKlineInfo"": ""/v1/api/getKlineInfo"", ""getPredictInfo"": ""/v1/api/getPredictInfo"", ""sendchat"": ""/v1/api/sendChat""}","{""getCoinList"": ""/v1/api/getCoinList"", ""getKlineInfo"": ""/v1/api/getKlineInfo"", ""getPredictInfo"": ""/v1/api/getPredictInfo"", ""sendchat"": ""/v1/api/sendChat""}",pass,True,False,False,exact endpoint names and paths correspond to the paper appendix
frontend_dependency_lock,frontend,package-lock lockfileVersion 2,lockfileVersion 2,pass,True,False,False,locked frontend dependency graph
frontend_repeated_build,frontend,two successful byte-identical builds,67 files; manifest 9726a9b6a16c28b471ea8fb8e63b82814351290a1ba54a1397587da36efe0a83,pass,True,False,False,documented UI build only; no table or trading-result credit
paper_table_token_menu_match,backend_paper_time,"ADA,ARB,BNB,BTC,DOGE,ETH,MATIC,SOL,TRX,XRP","ADA,ARB,BNB,BTC,DOGE,ETH,MATIC,SOL,TRX,XRP",pass,True,False,False,strong product correspondence; the menu does not train or evaluate forecasts
prediction_database_reader,backend_paper_time,reader for kline_predictd records,"SELECT date, open, high, low, close ... order by date desc limit 3",pass,True,False,False,reads three precomputed records; no forecast fitting or Table 1 evaluation
backend_core_compile,backend_paper_time,exit 0,0,pass,True,False,False,syntax-level component execution under Python 3.9.21
backend_repository_compile,backend_paper_time,exit 0,1,fail,False,False,False,examples/utils/redis_t001.py:13 uses await outside an async function
backend_public_tests,backend_paper_time,>=1 executable test,0 test functions; tests/__init__.py is empty,missing,False,False,False,examples and debug scripts are not a paper-result test suite
backend_private_module_boundary,backend_paper_time,all imported product modules public,ml4gp imported by 4 files; no ml4gp package shipped,blocked,False,False,False,genaipf/controller/gptstream.py; genaipf/controller/pay.py; genaipf/controller/user.py; genaipf/services/user_service.py
backend_install_contract,backend_paper_time,editable install declares complete dependencies/packages,setup.py packages=['genaipf']; install_requires=[]; separate requirements.txt,incomplete,False,False,False,pip install -e . alone cannot instantiate the documented platform
backend_private_runtime_state,backend_paper_time,frozen public data/services,placeholder MySQL/Redis credentials and plugin4gp service; no database snapshot,blocked,False,False,False,private service state remains the decisive runtime boundary
paper_prompt_templates_in_backend,backend_paper_time,7 exact paper templates,0 exact paper-template prefix matches,missing,False,False,False,paper templates exist only in the TeX source
perplexity_model_version,backend_paper_time,paper-reported runtime identity,mixtral-8x7b-instruct,version_mismatch_or_unresolved,False,False,False,generic public platform client is not an immutable paper request
result_generation_assets,frontend_and_backend,"training panel, fitted model, predictions, scores, and table runner","none found across 2273 reachable commits, 444 unique historical paths, 2288 path/object revisions, and 2185 scanned text blob revisions",missing,False,False,False,there is no public path capable of regenerating any Table 1 performance cell
frontend_live_api,deployed_endpoint,reachable frozen paper-era API,api1-test.mountainlion.ai root and getCoinList timed out after 4s connect on 2026-08-12,unreachable_observation,False,False,False,bounded present-day observation; not proof of historical unavailability
current_product_site,deployed_endpoint,paper-era application snapshot,www.mountainlion.ai returned HTTP 200 but now serves a newer assistant landing page,post_paper_drift,False,False,False,live product is not an immutable experiment artifact
