table,category,variant,asset_or_scope,metric,paper_value,cell_kind,factfin_system_output,duplicate_measurement_group,native_reproduced_value,paper_result_credit,status,note
counterfactual_agents,prior_agent_audit,FinMem,ten_stock_average,PC,0.8213,direct_result,False,,,False,paper_value_only_zero_credit,"Underlying predictions, confidence distributions, perturbations, and repetitions are absent."
counterfactual_agents,prior_agent_audit,FinMem,ten_stock_average,CI,0.8743,direct_result,False,,,False,paper_value_only_zero_credit,"Underlying predictions, confidence distributions, perturbations, and repetitions are absent."
counterfactual_agents,prior_agent_audit,FinMem,ten_stock_average,IDS,0.2766,direct_result,False,,,False,paper_value_only_zero_credit,"Underlying predictions, confidence distributions, perturbations, and repetitions are absent."
counterfactual_agents,prior_agent_audit,FinAgent,ten_stock_average,PC,0.7245,direct_result,False,,,False,paper_value_only_zero_credit,"Underlying predictions, confidence distributions, perturbations, and repetitions are absent."
counterfactual_agents,prior_agent_audit,FinAgent,ten_stock_average,CI,0.7781,direct_result,False,,,False,paper_value_only_zero_credit,"Underlying predictions, confidence distributions, perturbations, and repetitions are absent."
counterfactual_agents,prior_agent_audit,FinAgent,ten_stock_average,IDS,0.3598,direct_result,False,,,False,paper_value_only_zero_credit,"Underlying predictions, confidence distributions, perturbations, and repetitions are absent."
counterfactual_agents,prior_agent_audit,QuantAgent,ten_stock_average,PC,0.7789,direct_result,False,,,False,paper_value_only_zero_credit,"Underlying predictions, confidence distributions, perturbations, and repetitions are absent."
counterfactual_agents,prior_agent_audit,QuantAgent,ten_stock_average,CI,0.8362,direct_result,False,,,False,paper_value_only_zero_credit,"Underlying predictions, confidence distributions, perturbations, and repetitions are absent."
counterfactual_agents,prior_agent_audit,QuantAgent,ten_stock_average,IDS,0.2941,direct_result,False,,,False,paper_value_only_zero_credit,"Underlying predictions, confidence distributions, perturbations, and repetitions are absent."
counterfactual_agents,prior_agent_audit,FinCON,ten_stock_average,PC,0.7136,direct_result,False,,,False,paper_value_only_zero_credit,"Underlying predictions, confidence distributions, perturbations, and repetitions are absent."
counterfactual_agents,prior_agent_audit,FinCON,ten_stock_average,CI,0.7522,direct_result,False,,,False,paper_value_only_zero_credit,"Underlying predictions, confidence distributions, perturbations, and repetitions are absent."
counterfactual_agents,prior_agent_audit,FinCON,ten_stock_average,IDS,0.3612,direct_result,False,,,False,paper_value_only_zero_credit,"Underlying predictions, confidence distributions, perturbations, and repetitions are absent."
counterfactual_agents,prior_agent_audit,TradingAgents,ten_stock_average,PC,0.6903,direct_result,False,,,False,paper_value_only_zero_credit,"Underlying predictions, confidence distributions, perturbations, and repetitions are absent."
counterfactual_agents,prior_agent_audit,TradingAgents,ten_stock_average,CI,0.7016,direct_result,False,,,False,paper_value_only_zero_credit,"Underlying predictions, confidence distributions, perturbations, and repetitions are absent."
counterfactual_agents,prior_agent_audit,TradingAgents,ten_stock_average,IDS,0.3837,direct_result,False,,,False,paper_value_only_zero_credit,"Underlying predictions, confidence distributions, perturbations, and repetitions are absent."
overall_performance,Market,B&H,AAPL,TR_pct,-3.36,direct_result,False,,,False,paper_value_only_zero_credit,"No released native result lineage, exact input snapshot, or executable paper pipeline."
